pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021/10/22	Intelligent Perception-Based Cattle Lameness Detection and Behaviour Recognition	This paper is about the number 1. The number 12 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(11)."	"Y Qiao, H Kong, C Clark, S Lomax, D Su, S Eiffert, S Sukkarieh Animals 11 (11), 3033"	paper11.pdf	https://doi.org/10.3390/ani11113033
2021/4/30	"Intelligent perception for cattle monitoring_ A review for cattle identification, body condition score evaluation, and weight estimation"	This paper is about the number 1. The number 13 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(12)."	"Y Qiao, H Kong, C Clark, S Lomax, D Su, S Eiffert, S Sukkarieh Computers and Electronics in Agriculture 185, 106143"	paper12.pdf	https://www.sciencedirect.com/science/article/pii/S0168169921001617
2021/2/6	Real time detection of inter-row ryegrass in wheat farms using deep learning	This paper is about the number 1. The number 14 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(13)."	"D Su, Y Qiao, H Kong, S Sukkarieh Biosystems Engineering 204, 198-211"	paper13.pdf	https://doi.org/10.1016/j.biosystemseng.2021.01.019
2020/10/8	BiLSTM-based Individual Cattle Identification for Automated Precision Livestock Farming	This paper is about the number 1. The number 15 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(14)."	"Y Qiao, D Su, H Kong, S Sukkarieh, S Lomax, C Clark 2020 IEEE 16th International Conference on Automation Science and ..."	paper14.pdf	http://www.scopus.com/inward/record.url?eid=2-s2.0-85094108275&partnerID=MN8TOARS
2020/12/8	Data Augmentation for Deep Learning based Cattle Segmentation in Precision Livestock Farming	This paper is about the number 1. The number 16 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(15)."	"Y Qiao, D Su, H Kong, S Sukkarieh, S Lomax, C Clark 2020 IEEE 16th International Conference on Automation Science and ..."	paper15.pdf	http://www.scopus.com/inward/record.url?eid=2-s2.0-85094123876&partnerID=MN8TOARS
2020/7/8	Filtering for systems subject to unknown inputs without a priori initial information	This paper is about the number 1. The number 17 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(16)."	"H Kong, M Shan, D Su, Y Qiao, A Al-Azzawi, S Sukkarieh Automatica 120, 109122"	paper16.pdf	https://www.sciencedirect.com/science/article/abs/pii/S0005109820303204
2020/5/11	CNN feature based graph convolutional network for weed and crop recognition in smart farming	This paper is about the number 1. The number 18 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(17)."	"H Jiang, C Zhang, Y Qiao, Z Zhang, W Zhang, C Song Computers and Electronics in Agriculture 174, 105450"	paper17.pdf	https://www.sciencedirect.com/science/article/pii/S0168169919321349
2019/12/31	Individual Cattle Identification Using a Deep Learning Based Framework	This paper is about the number 1. The number 19 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(18)."	"Y Qiao, D Su, H Kong, S Sukkarieh, S Lomax, C Clark IFAC-PapersOnLine 52 (30), 318-323"	paper18.pdf	https://www.sciencedirect.com/science/article/pii/S2405896319324772
2019/3/4	Cattle segmentation and contour extraction based on Mask R-CNN for precision livestock farming	This paper is about the number 1. The number 20 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(19)."	"Y Qiao, M Truman, S Sukkarieh Computers and Electronics in Agriculture 165, 104958"	paper19.pdf	https://www.sciencedirect.com/science/article/pii/S0168169919304077
2019/5/21	ConvNet and LSH-Based Visual Localization Using Localized Sequence Matching	This paper is about the number 1. The number 21 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(20)."	"Y Qiao, C Cappelle, Y Ruichek, T Yang Sensors 19 (11), 2439"	paper20.pdf	https://www.mdpi.com/1424-8220/19/11/2439
